#At time x allocated y bytes for process z from i to j 
At time 1 allocated 15 bytes for process 1 from 0 to 16
At time 1 allocated 32 bytes for process 2 from 32 to 64
At time 3 freed 32 bytes for process 2 from 32 to 64
At time 5 allocated 140 bytes for process 3 from 256 to 512
At time 6 freed 140 bytes for process 3 from 256 to 512
At time 8 allocated 200 bytes for process 4 from 256 to 512
At time 8 freed 15 bytes for process 1 from 0 to 16
At time 20 allocated 6 bytes for process 5 from 0 to 8
At time 20 freed 200 bytes for process 4 from 256 to 512
At time 24 freed 6 bytes for process 5 from 0 to 8
