#At time x allocated y bytes for process z from i to j 
At time 1 allocated 150 bytes for process 1 from 0 to 256
At time 1 allocated 100 bytes for process 2 from 256 to 384
At time 2 allocated 63 bytes for process 3 from 384 to 448
At time 3 allocated 112 bytes for process 4 from 512 to 640
At time 4 allocated 1 bytes for process 5 from 448 to 456
At time 15 freed 150 bytes for process 1 from 0 to 256
At time 21 freed 100 bytes for process 2 from 256 to 384
At time 22 freed 63 bytes for process 3 from 384 to 448
At time 26 freed 1 bytes for process 5 from 448 to 456
At time 27 freed 112 bytes for process 4 from 512 to 640
